imdb_title_id	title	original_title	year	date_published	genre	duration	country	language	director	writer	production_company	actors	description	avg_vote	votes	reviews_from_users	reviews_from_critics
tt0018909	L'ultima gioia	Four Sons	1928	2/13/1928	"Drama, War"	100	USA	English	John Ford	"Philip Klein, I.A.R. Wylie"	Fox Film Corporation	"Margaret Mann, James Hall, Charles Morton, Francis X. Bushman Jr., George Meeker, June Collyer, Earle Foxe, Albert Gran, Frank Reicher, Archduke Leopold of Austria, Ferdinand Schumann-Heink, Jack Pennick"	"A family saga in which three of a Bavarian widow's sons go to war for Germany and the fourth goes to America, Germany's eventual opponent."	7.1	623	17	8
tt0018910	Quattro mura	Four Walls	1928	8/11/1928	Drama	60	USA		William Nigh	"George Abbott, George Abbott"	Metro-Goldwyn-Mayer (MGM)	"John Gilbert, Joan Crawford, Vera Gordon, Carmel Myers, Robert Emmett O'Connor, Louis Natheaux, Jack Byron, Helen Brent"	While Benny is in jail his old henchman Monk takes over the gang and Benny's girl Frieda. Once out Benny wants nothing to do with either. He has reformed and is beloved of his god-fearing ...	3.9	307		1
tt0018927	Eden palace	The Garden of Eden	1928	2/4/1928	"Comedy, Drama"	79	USA	English	Lewis Milestone	"Hanns Kräly, Avery Hopwood"	Feature Productions	"Corinne Griffith, Louise Dresser, Lowell Sherman, Maude George, Charles Ray, Edward Martindel"	"Toni Le Brun, a beautiful Viennese singer, becomes the ward of the wardrobe mistress of a Monte Carlo nightclub. Her benefactor, however, is actually a baroness incognito. Toni falls in ..."	6.8	341	10	11
tt0018935	Sesso Incatenato	Geschlecht in Fesseln	1928	1932	Drama	107	Germany	German	William Dieterle	"Franz Höllering, Herbert Juttke"	Essem-Film GmbH	"William Dieterle, Gunnar Tolnæs, Mary Johnson, Paul Henckels, Hans Heinrich von Twardowski, Gerd Briese, Hugo Werner-Kahle, Carl Goetz, Friedrich Kurth, Arthur Duarte, Harry Nestor"	A young man is convicted of manslaughter and sentenced to a term in prison. There he forms a close relationship with his cellmate and upon his release his wife is concerned as to how prison has changed the man she married.	6.7	234	5	5
tt0018937	Capitan Barbablù	A Girl in Every Port	1928	2/26/1928	"Action, Adventure, Comedy"	78	USA		Howard Hawks	"Howard Hawks, James Kevin McGuinness"	Fox Film Corporation	"Victor McLaglen, Louise Brooks, Robert Armstrong, Maria Alba, Francis McDonald, Leila Hyams, Natalie Joyce, Eileen Sedgwick, Michael Visaroff"	"Two sailors with a rivalry over chasing women become friends. But when one decides to finally settle down, will this mysterious young women come between them?"	6.6	630	8	23
tt0018972	La casa del boia	Hangman's House	1928	7/2/1929	"Drama, Romance, Thriller"	80	USA		John Ford	"Philip Klein, Marion Orth"	Fox Film Corporation	"Victor McLaglen, June Collyer, Larry Kent, Earle Foxe, Hobart Bosworth"	"""Citizen"" Hogan, an exile Irish patriot, risks his life by returning to Ireland and helping a young couple."	6.6	394	8	8
tt0018990	Heimkehr	Heimkehr	1928	10/8/1928	"Drama, Romance, War"	78	Germany	German	Joe May	"Leonhard Frank, Joe May"	Universum Film (UFA)	"Lars Hanson, Dita Parlo, Gustav Fröhlich, Theodor Loos, Philipp Manning, Else Wasa"	"Following World War I, after a long imprisonment, two German prisoner-of-war soldiers escape from a Siberian lead-mine. Karl manages to reach Germany before Richard, and is sheltered by ..."	6.9	154	4	3
tt0018996	High Treason	High Treason	1929	3/25/1929	Sci-Fi	95	UK	English	Maurice Elvey	"Noel Pemberton-Billing, L'Estrange Fawcett"	Gaumont British Picture Corporation	"Benita Hume, Basil Gill, Humberston Wright, Jameson Thomas"	Women unite to prevent financiers from engineering a second world war.	6	116	8	12
tt0019043	Jûjiro	Jûjiro	1928	5/11/1928	Drama	81	Japan	Japanese	Teinosuke Kinugasa	"Teinosuke Kinugasa, Teinosuke Kinugasa"	Kinugasa Eiga Renmei	"Akiko Chihaya, Junosuke Bandô, Yukiko Ogawa, Ippei Sôma, Yoshie Nakagawa, Misao Seki, Teruko Sanjô, Keinosuke Sawada"	"After falling in love with a courtesan, Rikiya is blinded by ash during a fight in a brothel. Believing the blindness permanent and his opponent dead, Rikiya goes back home to his sister. ..."	7.1	305	3	8
tt0019067	L'avventuriera	A Lady of Chance	1928	12/1/1928	"Comedy, Drama, Romance"	78	USA	English	Robert Z. Leonard	"Leroy Scott, Edmund Goulding"	Metro-Goldwyn-Mayer (MGM)	"Norma Shearer, Lowell Sherman, Gwen Lee, Johnny Mack Brown, Eugenie Besserer, Buddy Messinger"	Seasoned grifter Dolly Crandall returns to the 'badger game' but has a change of heart when she falls in love with a young man she believes is a rich Southerner.	6.9	402	13	3
tt0019071	Crepuscolo di gloria	The Last Command	1928	10/1/1928	"Drama, History, Romance"	88	USA	English	Josef von Sternberg	"Lajos Biró, John F. Goodrich"	Paramount Pictures	"Emil Jannings, Evelyn Brent, William Powell, Jack Raymond, Nicholas Soussanin, Michael Visaroff, Fritz Feld"	A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.	8	3282	40	43
tt0019074	Ridi pagliaccio	"Laugh, Clown, Laugh"	1928	4/14/1928	Drama	73	USA		Herbert Brenon	"David Belasco, Tom Cushing"	Metro-Goldwyn-Mayer (MGM)	"Lon Chaney, Bernard Siegel, Loretta Young, Cissy Fitzgerald, Nils Asther, Gwen Lee"	"A professional clown and a self-indulgent count learn to help each other with their problems, but then become romantic rivals."	7.6	1684	47	12
tt0019096	Lights of New York	Lights of New York	1928	7/18/1928	"Crime, Drama, Music"	57	USA	English	Bryan Foy	"Murray Roth, Hugh Herbert"	Warner Bros.	"Helene Costello, Cullen Landis, Mary Carr, Wheeler Oakman, Gladys Brockwell, Robert Elliott, Eugene Pallette, Tom Dugan, Tom McGuire, Walter Percival, Guy D'Ennery, Jere Delaney"	Two men are conned into bootlegging business.	5.7	735	20	6
tt0019098	Le sette aquile	Lilac Time	1928	10/18/1928	"Drama, Romance, War"	80	USA		"George Fitzmaurice, Frank Lloyd"	"Jane Cowl, Guy Fowler"	First National Pictures	"Colleen Moore, Gary Cooper, Eugenie Besserer, Burr McIntosh, Kathryn McGuire, Cleve Moore, Arthur Lake, Richard Jarvis, Jack Stoney, Dan Dowling, Dick Grace, Stuart Knox, Jack Ponder, Harlan Hilton, George Cooper"	All of those handsome young men in their flying machines are billeted in a field next to the Widow Berthelot's farmhouse in France. Her daughter Jeannine is curious about the young men ...	6.1	636	7	2
